FF,eig_real,eig_imag,eig_real_inf,eig_imag_inf,shape,uuid
0.05,,,-0.003857583433254444,-2.2169063436380374e-21,CC,20241218113033_cd3a28c228d14ae6b1db54dc8de72597
0.05,,,-0.0034488906756693282,3.715616910312054e-07,RIT,20241218113133_7c61901b685e4fad96b085b31261aa84
0.09,,,-0.002731490426181241,-1.3526609901031452e-20,CC,20241218113232_2c9d5ba052d74fee942948560b5a30ce
0.09,,,-0.0023049936652340414,3.2044645671092155e-06,RIT,20241218113332_8734191ae3f641c2be9b6451c71b1ee8
0.13,,,-0.0019105151920698173,1.4951026464853322e-19,CC,20241218113427_ad3ae6720fbf41c3a64a0b95bc191019
0.13,,,-0.0016139279453223762,1.1614143314558469e-05,RIT,20241218113522_462a39cb4d054dd48446fc40043dc3d6
0.16999999999999998,,,-0.0013419350465214835,2.75183675028367e-20,CC,20241218113617_2178b0a269f3482d839eb122853a429e
0.16999999999999998,,,-0.0012311522415134955,2.610029583988002e-05,RIT,20241218113713_7fc0e92b18ce4c54a2d2fe391cb66239
0.21000000000000002,,,-0.0009458440209789093,3.628470874304107e-20,CC,20241218113813_772c65a6de364a1180ac3fdce734af1d
0.21000000000000002,,,-0.0010175735494023968,4.2498599093035325e-05,RIT,20241218113906_4e86143b19fc4d56bf461d0aa2b26335
0.25,,,-0.0006686569196248799,-3.6052119737927264e-20,CC,20241218113956_53f5220f08b144cfad5dbf1cc63cc530
0.25,,,-0.0008870827107009062,5.578299598984377e-05,RIT,20241218114051_934d54312b2c47b18dfac92f46278523
0.29,,,-0.0004749638005713953,5.421010862427522e-20,CC,20241218114140_eb74ff6a25bf4daf8d37d623208d9ce4
0.29,,,-0.000794544260545374,6.371870335018383e-05,RIT,20241218114233_c42b2f7d725f4b6b812a3b27df74374d
0.33,,,-0.00034084488411305775,-8.131516293641283e-20,CC,20241218114323_3db9c6be473c434f8be82fab41eb37c0
0.33,,,-0.0007189271828800357,6.655458937737746e-05,RIT,20241218114416_9c3eeea830154ea591498aba4dacff04
0.37,,,-0.0002494215778444521,2.710505431213761e-20,CC,20241218114503_3f8db064be3841779d34ae479777c63d
0.37,,,-0.0006520365212842147,6.57403387627905e-05,RIT,20241218114556_01c073f4d77d48c6ac6526d2236a4867
0.41,,,-0.00018855315583474414,-5.0721947950542334e-20,CC,20241218114647_cf578f16bc944bb28889dfda74d971aa
0.41,,,-0.0005907772760674504,6.279060140503063e-05,RIT,20241218114739_8d87116d5e4f4336ab8d3d942e56ec12
0.45,,,-0.0001497417068563652,1.0350286854955545e-21,CC,20241218114828_2ece20c7dcb84dfeb125670b545c39c2
0.45,,,-0.0005355015387244503,5.8885408747747566e-05,RIT,20241218114920_6b53e2046bc54aeba253975c7f2e9a3a
