score,y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,year,month,day,hour,minute,second
(0.3675191079559194+0j),(0.3675191079559194+0j),(0.181+0j),0j,(0.1+0j),0j,(0.2+0j),(0.45+0j),(0.23+0j),(0.08+0j),(0.025+0j),(0.04+0j),(2.11+0j),(17.7+0j),(-3.23+0j),(8.28+0j),(2+0j),(2024+0j),(7+0j),(30+0j),(14+0j),(5+0j),(37+0j)
(0.3040574264544209+0j),(0.3040574264544209+0j),(0.17788470205512238+0j),(0.0005090632029721836+0j),(0.09806912426280628+0j),(0.0006181267806393353+0j),(0.2005302568867604+0j),(0.44693055626729505+0j),(0.23028763006731098+0j),(0.0804405135383959+0j),(0.026740186425990686+0j),(0.03940907100730261+0j),(2.1126032587411405+0j),(17.681565422468076+0j),(-3.2593331135996055+0j),(8.326779359307489+0j),(1.9921751866498345+0j),(2024+0j),(7+0j),(30+0j),(14+0j),(8+0j),(58+0j)
0j,0j,(0.1841152979448776+0j),(-0.0005090632029721836+0j),(0.10193087573719373+0j),(-0.0006181267806393353+0j),(0.19946974311323962+0j),(0.45306944373270497+0j),(0.22971236993268904+0j),(0.0795594864616041+0j),(0.023259813574009316+0j),(0.040590928992697395+0j),(2.1073967412588592+0j),(17.718434577531923+0j),(-3.2006668864003944+0j),(8.23322064069251+0j),(2.0078248133501653+0j),(2024+0j),(7+0j),(30+0j),(14+0j),(9+0j),(1+0j)
0j,0j,(0.17799548932890083+0j),(-0.001511681413645682+0j),(0.10123809599713056+0j),(0.00261008047769108+0j),(0.1960212642899028+0j),(0.4491897982337157+0j),(0.23022766969872896+0j),(0.08036556731523016+0j),(0.025044331336058337+0j),(0.04182004914276722+0j),(2.1107947826462534+0j),(17.69020723499978+0j),(-3.2128344298692295+0j),(8.262214541634986+0j),(2.045474111269172+0j),(2024+0j),(7+0j),(30+0j),(14+0j),(9+0j),(4+0j)
0j,0j,(0.18400451067109916+0j),(0.001511681413645682+0j),(0.09876190400286945+0j),(-0.00261008047769108+0j),(0.20397873571009723+0j),(0.45081020176628434+0j),(0.22977233030127106+0j),(0.07963443268476984+0j),(0.024955668663941666+0j),(0.03817995085723278+0j),(2.1092052173537463+0j),(17.70979276500022+0j),(-3.2471655701307705+0j),(8.297785458365013+0j),(1.954525888730828+0j),(2024+0j),(7+0j),(30+0j),(14+0j),(9+0j),(7+0j)
0j,0j,(0.1806992044677384+0j),(-0.0013298935835290094+0j),(0.10041428253666673+0j),(0.0008828554665245312+0j),(0.20182595041999907+0j),(0.452636313269496+0j),(0.22996023930639992+0j),(0.08291716807207113+0j),(0.024441446014855747+0j),(0.0396004229817376+0j),(2.1110578243012683+0j),(17.71284450650714+0j),(-3.2436683468772944+0j),(8.259696501695723+0j),(1.992130668473046+0j),(2024+0j),(7+0j),(30+0j),(14+0j),(9+0j),(10+0j)
0j,0j,(0.18130079553226158+0j),(0.0013298935835290094+0j),(0.09958571746333328+0j),(-0.0008828554665245312+0j),(0.19817404958000095+0j),(0.44736368673050403+0j),(0.2300397606936001+0j),(0.07708283192792888+0j),(0.025558553985144256+0j),(0.040399577018262404+0j),(2.1089421756987314+0j),(17.68715549349286+0j),(-3.2163316531227055+0j),(8.300303498304276+0j),(2.007869331526954+0j),(2024+0j),(7+0j),(30+0j),(14+0j),(9+0j),(13+0j)
0j,0j,(0.18236988646351976+0j),(-0.0037556105183369163+0j),(0.09959295261117958+0j),(-0.0008372337371395539+0j),(0.20091345948350725+0j),(0.4517883003972766+0j),(0.23189042902149726+0j),(0.07972516009739443+0j),(0.026439194954620056+0j),(0.03995630041072123+0j),(2.1097811665426445+0j),(17.693537109314924+0j),(-3.2454544967208414+0j),(8.281455374592397+0j),(2.026287893172946+0j),(2024+0j),(7+0j),(30+0j),(14+0j),(9+0j),(16+0j)
(0.31024640146425086+0j),(0.31024640146425086+0j),(0.17963011353648023+0j),(0.0037556105183369163+0j),(0.10040704738882043+0j),(0.0008372337371395539+0j),(0.19908654051649277+0j),(0.44821169960272345+0j),(0.22810957097850276+0j),(0.08027483990260557+0j),(0.023560805045379947+0j),(0.040043699589278774+0j),(2.1102188334573553+0j),(17.706462890685074+0j),(-3.2145455032791586+0j),(8.278544625407601+0j),(1.9737121068270538+0j),(2024+0j),(7+0j),(30+0j),(14+0j),(12+0j),(28+0j)
0j,0j,(0.18065243582459548+0j),(0.001036872651406492+0j),(0.10397095575069647+0j),(-0.0005136354175062416+0j),(0.20007041421766092+0j),(0.4510276406375689+0j),(0.22932283005368168+0j),(0.08027497348324947+0j),(0.025201395198633503+0j),(0.038484347164891713+0j),(2.110081043968799+0j),(17.706284657507215+0j),(-3.216636689204208+0j),(8.296157160977618+0j),(2.018748168597962+0j),(2024+0j),(7+0j),(30+0j),(14+0j),(12+0j),(31+0j)
