score,y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,time_used,year,month,day,hour,minute,second
(0.3675191079559185+0j),(0.3675191079559185+0j),(0.181+0j),0j,(0.1+0j),0j,(0.2+0j),(0.45+0j),(0.23+0j),(0.08+0j),(0.025+0j),(0.04+0j),(2.11+0j),(17.7+0j),(-3.23+0j),(8.28+0j),(2+0j),(201.54124855995178+0j),(2024+0j),(7+0j),(30+0j),(14+0j),(37+0j),(46+0j)
0j,0j,(0.18351898658079413+0j),(-0.003263934547600525+0j),(0.09802565139000971+0j),(-0.0025649680897068873+0j),(0.1987601048091833+0j),(0.45101170240263366+0j),(0.23188460542323647+0j),(0.07767725808609308+0j),(0.0247579672278265+0j),(0.042236117030182985+0j),(2.1101002685648287+0j),(17.703046386655025+0j),(-3.1992286171257147+0j),(8.289728416142987+0j),(1.9815811122509053+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(37+0j),(48+0j)
(0.3300205841687874+0j),(0.3300205841687874+0j),(0.17848101341920586+0j),(0.003263934547600525+0j),(0.1019743486099903+0j),(0.0025649680897068873+0j),(0.20123989519081673+0j),(0.44898829759736636+0j),(0.22811539457676355+0j),(0.08232274191390693+0j),(0.025242032772173503+0j),(0.03776388296981702+0j),(2.109899731435171+0j),(17.696953613344974+0j),(-3.2607713828742853+0j),(8.270271583857012+0j),(2.0184188877490947+0j),(187.52752232551575+0j),(2024+0j),(7+0j),(30+0j),(14+0j),(40+0j),(58+0j)
0j,0j,(0.18312443783623344+0j),(0.0005929297065171967+0j),(0.09962902016386042+0j),(-0.0020568621550581183+0j),(0.20063162554427985+0j),(0.44955242896420117+0j),(0.23184207657478353+0j),(0.08139909832683256+0j),(0.024464026261544192+0j),(0.040367078743071445+0j),(2.1093209591312667+0j),(17.731783672086365+0j),(-3.2595715755225076+0j),(8.304540062660223+0j),(2.0319614967349815+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(41+0j),(1+0j)
0j,0j,(0.17887556216376654+0j),(-0.0005929297065171967+0j),(0.10037097983613959+0j),(0.0020568621550581183+0j),(0.19936837445572017+0j),(0.45044757103579885+0j),(0.22815792342521649+0j),(0.07860090167316744+0j),(0.02553597373845581+0j),(0.039632921256928556+0j),(2.110679040868733+0j),(17.668216327913633+0j),(-3.2004284244774923+0j),(8.255459937339776+0j),(1.9680385032650185+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(41+0j),(4+0j)
0j,0j,(0.1811866873172304+0j),(-0.0002604016159988347+0j),(0.10113099670384543+0j),(0.002637200432655387+0j),(0.20238915013850556+0j),(0.4453567759966858+0j),(0.23019671213396672+0j),(0.08008416367471288+0j),(0.023569023496047285+0j),(0.039792001992358814+0j),(2.110315244520781+0j),(17.70814882281838+0j),(-3.205376869583877+0j),(8.31724837395988+0j),(1.9940526091351938+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(41+0j),(7+0j)
0j,0j,(0.1808133126827696+0j),(0.0002604016159988347+0j),(0.09886900329615458+0j),(-0.002637200432655387+0j),(0.19761084986149446+0j),(0.4546432240033142+0j),(0.2298032878660333+0j),(0.07991583632528712+0j),(0.026430976503952718+0j),(0.04020799800764119+0j),(2.109684755479219+0j),(17.69185117718162+0j),(-3.254623130416123+0j),(8.24275162604012+0j),(2.0059473908648062+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(41+0j),(9+0j)
0j,0j,(0.18276710969340787+0j),(-0.001564154775309332+0j),(0.1010964145278862+0j),(0.00027851921863295594+0j),(0.1972988049349772+0j),(0.4492500132560203+0j),(0.22936938879786978+0j),(0.07937204521648775+0j),(0.024969465084561618+0j),(0.039228382374403646+0j),(2.1101362251207427+0j),(17.733529712468286+0j),(-3.250547328746715+0j),(8.290054401358715+0j),(1.9773959357056463+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(41+0j),(12+0j)
0j,0j,(0.17923289030659212+0j),(0.001564154775309332+0j),(0.09890358547211381+0j),(-0.00027851921863295594+0j),(0.20270119506502282+0j),(0.4507499867439797+0j),(0.23063061120213024+0j),(0.08062795478351226+0j),(0.025030534915438385+0j),(0.040771617625596356+0j),(2.109863774879257+0j),(17.666470287531713+0j),(-3.209452671253285+0j),(8.269945598641284+0j),(2.0226040642943537+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(41+0j),(15+0j)
0j,0j,(0.17736601200186497+0j),(0.0008611408002837272+0j),(0.09787692061186692+0j),(-0.0007236064817731056+0j),(0.20035680602801553+0j),(0.4508462140400573+0j),(0.23021038819128334+0j),(0.07974496975863357+0j),(0.024763791459586453+0j),(0.039525800320184705+0j),(2.108042489228104+0j),(17.717623326339634+0j),(-3.227843852135423+0j),(8.288975226745826+0j),(1.9876914407894672+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(41+0j),(17+0j)
