% Model,cwt_solver_20240922.mph
% Version,COMSOL 6.1.0.252
% Date,"Oct 14 2024, 09:19"
% Dimension,2
% Nodes,441
% Expressions,4
% Description,", , , "
% Length unit,m
% X,Y,Rx (1) @ lambda=6,Sx (1) @ lambda=6,Ry (1) @ lambda=6,Sy (1) @ lambda=6
-649.9891519165274,-649.9891519165274,0,0.02579692887139464+0.011029740847193024i,0,-0.025796928345673802-0.011029740632147771i
-584.9902367248745,-649.9891519165274,-0.017491540107792667+0.018837040077201446i,0.042958220458666665-0.0082661406834342i,0,-0.060449796120000274+0.02710339655380511i
-649.9891519165274,-584.9902367248746,0,0.06044979226567601-0.027103388722384235i,0.017491537234951254-0.01883703546267731i,-0.042958217047148514+0.008266136330304565i
-584.9902367248746,-584.9902367248745,0.004678263080092657+0.06051756224020875i,0.05444827111053744-0.08778281015904735i,-0.004678265349105131-0.06051755683550798i,-0.05444827241968392+0.08778281254564765i
-649.9891519165274,-519.991321533222,0,0.09374143135228857-0.064453108041844i,0.03461516684972601-0.03718847483686469i,-0.05912647167967359+0.027264904628965362i
-584.9902367248746,-519.9913215332219,0.02659313482900985+0.10078248722232153i,0.0648617852440628-0.16510053887018028i,-0.00910247744673013-0.11961944134278422i,-0.04737111383833306+0.14626363448139962i
-649.9891519165274,-454.9924063415691,0,0.12497476817546678-0.10006238490871053i,0.051010032017026224-0.054581171321728725i,-0.07396461562791241+0.045481008152497795i
-584.9902367248746,-454.992406341569,0.047643811915308504+0.13873334021114928i,0.07413624731949245-0.2383715829816137i,-0.013029761756103639-0.17592181460077932i,-0.039522153960988335+0.20118313188698242i
-649.9891519165274,-389.9934911499163,0,0.15349798656464342-0.13301553967948015i,0.06633149493610167-0.07056618861660788i,-0.0871666376386463+0.06244946447230245i
-584.9902367248746,-389.99349114991617,0.06724174863357586+0.1735257850287871i,0.08222654024621862-0.30584641765417964i,-0.01623321021742577-0.22810705270489723i,-0.031217973942033142+0.25126526430669016i
-649.9891519165274,-324.99457595826345,0,0.17871646618980253-0.16246983179033195i,0.08025557368566873-0.08473036169774334i,-0.09846074975295353+0.07773924524706019i
-584.9902367248746,-324.99457595826334,0.08484447000890122+0.20438544651670637i,0.08910158830840799-0.365914847235257i,-0.01851461095225672-0.27495176602708493i,-0.02277166035352969+0.2953486107470513i
-649.9891519165274,-259.9956607666107,0,0.20010534296617932-0.187669514600604i,0.09248799140469-0.09670671477443277i,-0.10761744969976617+0.09096280725694834i
-584.9902367248746,-259.9956607666105,0.09996213095180868+0.23062666188769185i,0.09474161456345542-0.4171443173171817i,-0.0197084595153849-0.315357243056638i,-0.014487898840743238+0.33241389452546144i
-649.9891519165274,-194.99674557495786,0,0.21722002460905315-0.20797109868888797i,0.10276825455798339-0.10618393612436092i,-0.11445162304324216+0.10178693238958222i
-584.9902367248746,-194.99674557495777,0.11217764185012441+0.2516663274723303i,0.09913485302496819-0.45831350912590385i,-0.019691641911309954-0.3483732755187948i,-0.006648767943458367+0.3616066872138921i
-649.9891519165274,-129.99783038330497,0,0.2297049351894918-0.22285420286190816i,0.11087679045993074-0.11291415996586868i,-0.11882821474636922+0.1099399922471237i
